,ente,população,estado_do_processo,data_adesao
,Nova Olinda do Maranhão,20.768 , 1 ,15/1/2014
,Olho D'Água das Cunhãs,19.206 , - , - 
,Olinda Nova do Maranhão,14.637 , 1 ,7/5/2014
,Paço do Lumiar,122.420, 1 ,3/12/2013
,Palmeirândia,19.424 , 1 ,27/7/2015
,Paraibano,21.116 , - , - 
,Parnarama,34.375 , 1 ,19/4/2017
,Passagem Franca,18.839 , 1 ,4/2/2013
,Pastos Bons,19.271 , 1 ,15/1/2014
,Paulino Neves,15.937 , 1 ,3/4/2014
,Paulo Ramos,20.657 , 1 ,19/8/2013
,Pedreiras,38.365 , 1 ,1/3/2013
,Pedro do Rosário,25.000 , 1 ,12/12/2014
,Penalva,38.144 , - , - 
,Peri Mirim,14.074 , - , - 
,Peritoró,23.019 , 1 ,29/7/2013
,Pindaré-Mirim,32.488 , - , - 
,Pinheiro,82.374 , - , - 
,Pio XII,20.861 , - , - 
,Pirapemas,18.413 , 1 ,18/6/2013
,Poção de Pedras,17.023 , 1 ,15/1/2014
,Porto Franco,23.760 , 1 ,15/1/2014
,Porto Rico do Maranhão,5.819 , - , - 
,Presidente Dutra,47.239 , 1 ,29/7/2013
,Presidente Juscelino,12.656 , - , - 
,Presidente Médici,6.968 , - , - 
,Presidente Sarney,18.797 , 1 ,25/11/2013
,Presidente Vargas,11.474 , 1 ,18/6/2013
,Primeira Cruz,15.207 , - , - 
,Raposa,30.863 , - , - 
,Riachão,19.701 , 1 ,12/9/2013
,Ribamar Fiquene,7.691 , - , - 
,Rosário,42.314 , - , - 
,Sambaíba,5.568 , 1 ,5/2/2014
,Santa Filomena do Maranhão,7.708 , - , - 
,Santa Helena,41.891 , 1 ,30/7/2014
,Santa Inês,88.013 , 1 ,30/10/2013
,Santa Luzia,71.576 , - , - 
,Santa Luzia do Paruá,24.946 , - , - 
,Santa Quitéria do Maranhão,25.334 , 1 ,12/2/2014
,Santa Rita,37.090 , 1 ,14/8/2013
,Santana do Maranhão,13.395 , - , - 
,Santo Amaro do Maranhão,15.853 , 1 ,15/1/2014
,Santo Antônio dos Lopes,14.222 , - , - 
,São Benedito do Rio Preto,18.377 , 1 ,20/11/2014
,São Bento,46.039 , 1 ,15/1/2014
,São Bernardo,28.208 , - , - 
,São Domingos do Azeitão,7.291 , - , - 
,São Domingos do Maranhão,33.691 , 1 ,15/1/2014
,São Félix de Balsas,4.453 , - , - 
,São Francisco do Brejão,11.808 , - , - 
,São Francisco do Maranhão,11.976 , - , - 
,São João Batista,20.307 , 1 ,16/10/2014
,São João do Caru,15.450 , - , - 
,São João do Paraíso,10.977 , 1 ,29/7/2013
,São João do Soter,18.345 , 1 ,29/7/2013
,São João dos Patos,25.520 , - , - 
,São José de Ribamar,176.418 , - , - 
,São José dos Basílios,7.484 , - , - 
,São Luis Gonzaga do Maranhão,18.247 , - , - 
,São Mateus do Maranhão,40.992 , 1 ,29/7/2013
,São Pedro da Água Branca,12.511 , 1 ,16/6/2017
,São Pedro dos Crentes,4.601 , - , - 
,São Raimundo das Mangabeiras,18.680 , 1 ,14/11/2013
,São Raimundo do Doca Bezerra,4.946 , 1 ,29/7/2013
,São Roberto,6.704 , - , - 
,São Vicente Ferrer,20.913 , 1 ,12/2/2014
,Satubinha,13.949 , - , - 
,Senador Alexandre Costa,11.042 , 1 ,3/5/2013
,Senador La Rocque,13.877 , 1 ,15/1/2014
,Serrano do Maranhão,11.040 , 1 ,30/7/2014
,Sítio Novo,17.851 , 1 ,12/2/2014
,Sucupira do Norte,10.416 , - , - 
,Sucupira do Riachão,5.571 , - , - 
,Tasso Fragoso,8.455 , - , - 
,Timbiras,28.635 , - , - 
,Timon,167.619 , 1 ,19/4/2013
,Trizidela do Vale,21.749 , 1 ,3/12/2013
,Tufilândia,5.746 , - , - 
,Tuntum,41.342 , 1 ,12/12/2014
,Turiaçu,35.063 , - , - 
,Turilândia,25.533 , - , - 
,Tutóia,58.605 , 1 ,15/1/2014
,Urbano Santos,33.038 , 1 ,29/7/2013
,Vargem Grande,56.511 , 1 ,16/8/2013
,Viana ,51.738 , 1 ,12/2/2014
,Vila Nova dos Martírios,13.480 , - , - 
,Vitória do Mearim,32.267 , 1 ,23/1/2013
,Vitorino Freire,30.879 , 1 ,16/8/2013
,Zé Doca,51.084 , 1 ,21/7/2014
,MATO GROSSO ,3.344.544, Sim ,7/3/2013
,Cuiabá,590.118 , 1 ,2/12/2015
,Acorizal,5.269 ,, - 
,Água Boa,24.501 , 1 ,1/3/2013
,Alta Floresta,50.189 , 1 ,23/4/2013
,Alto Araguaia,18.164 ,, - 
,Alto Boa Vista,6.466 ,, - 
,Alto Garças,11.532 ,, - 
,Alto Paraguai,10.921 ,, - 
,Alto Taquari,10.246 , 1 ,14/3/2013
,Apiacás,9.694 , 1 ,14/8/2013
,Araguaiana,3.036 ,, - 
,Araguainha,931 ,, - 
,Araputanga,16.223 ,, - 
,Arenápolis,9.455 ,, - 
,Aripuanã,21.357 ,, - 
,Barão de Melgaço,7.872 ,, - 
,Barra do Bugres,33.644 ,, - 
,Barra do Garças,58.974 , 1 ,28/1/2013
,Bom Jesus do Araguaia,6.266 ,, - 
,Brasnorte,18.688 ,, - 
,Cáceres,91.271 , 1 ,3/6/2013
,Campinápolis,15.386 ,, - 
,Campo Novo do Parecis,33.551 , 1 ,14/3/2013
,Campo Verde,39.933 , 1 ,3/12/2013
,Campos de Júlio,6.512 ,, - 
,Canabrava do Norte,4.630 , 1 ,28/1/2013
,Canarana,20.707 , 1 ,14/3/2013
,Carlinda,10.136 , 1 ,20/8/2013
,Castanheira,8.454 , - , - 
,Chapada dos Guimarães,19.049 ,, - 
,Cláudia,11.716 , 1 ,12/4/2013
,Cocalinho,5.535 ,, - 
,Colíder,32.298 , 1 ,14/3/2013
,Colniza,36.161 , 1 ,23/4/2013
,Comodoro,19.932 ,, - 
,Confresa,29.471 ,, - 
,Conquista d'Oeste,3.860 ,, - 
,Cotriguaçu,18.689 ,, - 
,Curvelândia,5.049 , 1 ,28/1/2013
,Denise,9.115 ,, - 
,Diamantino,21.294 , 1 ,24/5/2018
,Dom Aquino,7.977 ,, - 
,Feliz Natal,13.451 , 1 ,3/5/2013
,Figueirópolis D'Oeste,3.444 , 1 ,31/5/2016
,Gaúcha do Norte,7.296 , 1 ,18/5/2017
,General Carneiro,5.333 ,, - 
,Glória d'Oeste,2.964 ,, - 
,Guarantã do Norte,34.500 ,, - 
,Guiratinga,14.615 ,, - 
,Indiavaí,2.648 ,, - 
,Ipiranga do Norte,7.171 , 1 ,28/3/2013
,Itanhangá,6.396 ,, - 
,Itaúba,3.800 ,, - 
,Itiquira,12.789 , 1 ,3/6/2013
,Jaciara,26.633 , 1 ,24/5/2017
,Jangada,7.996 ,, - 
,Jauru,8.776 ,, - 
,Juara,33.851 , 1 ,28/1/2013
,Juína,39.779 , 1 ,28/1/2013
,Juruena,14.913 ,, - 
,Juscimeira,10.971 ,, - 
,Lambari D'Oeste,5.887 , 1 ,28/3/2013
,Lucas do Rio Verde,61.515 , 1 ,19/9/2013
,Luciára,2.043 ,, - 
,Marcelândia,10.422 ,,
,Matupá,15.870 ,,
,Mirassol D'Oeste,26.768 ,,
,Nobres,14.917 ,,
,Nortelândia,5.895 , 1 ,1/3/2013
,Nossa Senhora do Livramento,12.484 ,,
,Nova Bandeirantes,14.473 ,, - 
,Nova Brasilândia,3.827 ,, - 
,Nova Canaã do Norte,12.388 ,, - 
,Nova Guarita,4.457 ,, - 
,Nova Lacerda,6.338 , 1 ,5/12/2018
,Nova Marilândia,3.159 , 1 ,3/12/2013
,Nova Maringá,8.182 ,, - 
,Nova Monte Verde,8.822 , 1 ,3/6/2013
,Nova Mutum,42.607 , 1 ,18/6/2013
,Nova Nazaré,3.655 , 1 ,19/4/2017
,Nova Olímpia,19.465 , - , - 
,Nova Santa Helena,3.596 , 1 ,30/4/2018
,Nova Ubiratã,11.352 , 1 ,3/12/2013
,Nova Xavantina,20.639 , 1 ,3/5/2013
,Novo Horizonte do Norte,3.876 ,, - 
,Novo Mundo,8.730 , 1 ,24/5/2017
,Novo Santo Antônio,2.498 ,, - 
,Novo São Joaquim,5.066 , 1 ,2/1/2013
,Paranaíta,10.884 ,, - 
,Paranatinga,21.612 , 1 ,2/3/2017
,Pedra Preta,16.965 , 1 ,3/5/2013
,Peixoto de Azevedo,33.630 , 1 ,18/6/2013
,Planalto da Serra,2.604 ,, - 
,Poconé,32.241 ,, - 
,Pontal do Araguaia,6.387 ,, - 
,Ponte Branca,1.560 ,, - 
,Pontes e Lacerda,43.832 ,, - 
,Porto Alegre do Norte,11.995 ,, - 
,Porto dos Gaúchos,5.283 ,, - 
,Porto Esperidião,11.603 ,, - 
,Porto Estrela,2.973 ,, - 
,Poxoréu,15.985 , 1 ,20/4/2018
,Primavera do Leste,59.293 , 1 ,1/3/2013
,Querência,16.512 ,, - 
,Reserva do Cabaçal,2.646 ,, - 
,Ribeirão Cascalheira,9.796 , 1 ,7/7/2015
,Ribeirãozinho,2.320 ,, - 
,Rio Branco,5.019 , 1 ,28/3/2013
,Rondolândia,3.854 , 1 ,28/1/2013
,Rondonópolis,222.316 , 1 ,14/3/2013
,Rosário Oeste,16.908 ,, - 
,Salto do Céu,3.347 ,, - 
,Santa Carmem,4.360 ,, - 
,Santa Cruz do Xingu,2.421 ,, - 
,Santa Rita do Trivelato,3.231 ,, - 
,Santa Terezinha,8.049 ,, - 
,Santo Afonso,3.050 ,, - 
,Santo Antônio do Leste,4.875 ,, - 
,Santo Antônio do Leverger,18.392 ,, - 
,São Félix do Araguaia,11.290 , 1 ,19/4/2017
,São José do Povo,3.908 ,, - 
,São José do Rio Claro,19.728 ,, - 
,São José do Xingu,5.416 , 1 ,7/7/2015
,São José dos Quatro Marcos,18.452 , 1 ,13/10/2017
,São Pedro da Cipa,4.541 ,, - 
,Sapezal,24.305 , 1 ,3/6/2013
,Serra Nova Dourada,1.575 ,, - 
,Sinop,135.874 , 1 ,16/8/2013
,Sorriso,85.223 , 1 ,23/4/2013
,Tabaporã,9.309 ,, - 
,Tangará da Serra,98.828 , 1 ,23/4/2013
,Tapurah,12.967 ,, - 
,Terra Nova do Norte,9.606 ,, - 
,Tesouro,3.682 ,, - 
,Torixoréu,3.576 ,, - 
,União do Sul,3.468 , 1 ,2/1/2013
,Vale de  São Domingos,3.041 ,, - 
,Várzea Grande,274.013 , 1 ,24/7/2013
,Vera,10.901 , 1 ,23/4/2013
,Vila Bela da Santíssima Trindade,15.534 , 1 ,14/8/2013
,Vila Rica,24.835 ,, - 
,MATO GROSSO DO SUL,2.713.147, Sim ,7/3/2013
,Campo Grande,874.210 , 1 ,23/4/2013
,Água Clara,14.992 , 1 ,3/5/2013
,Alcinópolis,5.188 ,, - 
,Amambaí,38.465 , 1 ,24/7/2013
,Anastácio,24.954 ,, - 
,Anaurilândia,8.927 , 1 ,30/7/2014
,Angélica,10.458 ,, - 
,Antônio João,8.808 , 1 ,28/1/2013
,Aparecida do Taboado,25.072 , 1 ,5/9/2013
,Aquidauana,47.482 , 1 ,23/4/2013
,Aral Moreira,11.771 , 1 ,26/7/2016
,Bandeirantes,6.795 , 1 ,27/7/2015
,Bataguassu,22.389 , 1 ,17/9/2013
,Batayporã,11.248 , 1 ,23/4/2013
,Bela Vista,24.331 , 1 ,13/8/2018
,Bodoquena,7.820 , 1 ,28/1/2013
,Bonito,21.483 , 1 ,17/9/2013
,Brasilândia,11.864 , 1 ,17/9/2013
,Caarapó,29.292 ,, - 
,Camapuã,13.694 , 1 ,26/10/2016
,Caracol,5.972 , 1 ,7/5/2014
,Cassilândia,21.748 , 1 ,27/10/2015
,Chapadão do Sul,23.940 , 1 ,23/4/2013
,Corguinho,5.730 , 1 ,28/1/2013
,Coronel Sapucaia,15.016 , 1 ,3/4/2014
,Corumbá,109.899 , 1 ,3/5/2013
,Costa Rica,20.159 , 1 ,23/4/2013
,Coxim,33.323 , 1 ,16/9/2014
,Deodápolis,12.773 , 1 ,29/2/2016
,Dois Irmãos do Buriti,11.132 , 1 ,14/11/2013
,Douradina,5.827 ,, - 
,Dourados,218.069 , 1 ,28/3/2013
,Eldorado,12.224 , 1 ,2/10/2015
,Fátima do Sul,19.181 ,, - 
,Figueirão,3.027 , 1 ,3/7/2014
,Glória de Dourados,9.960 ,, - 
,Guia Lopes da Laguna,9.991 , 1 ,28/1/2013
,Iguatemi,15.838 ,, - 
,Inocência,7.618 , 1 ,16/10/2014
,Itaporã,23.539 ,, - 
,Itaquiraí,20.637 , 1 ,3/7/2014
,Ivinhema,23.021 , 1 ,13/12/2013
,Japorã,8.836 , 1 ,17/9/2015
,Jaraguari,7.019 , 1 ,16/9/2014
,Jardim,25.758 , 1 ,12/12/2014
,Jateí,4.025 , 1 ,26/2/2014
,Juti,6.553 ,, - 
,Ladário,22.590 , 1 ,18/6/2013
,Laguna Carapã,7.177 , 1 ,16/10/2014
,Maracaju,44.994 , 1 ,31/8/2015
,Miranda,27.525 ,, - 
,Mundo Novo,18.103 , 1 ,14/11/2013
,Naviraí,53.188 , 1 ,28/1/2013
,Nioaque,14.092 , 1 ,29/5/2015
,Nova Alvorada do Sul,20.772 , 1 ,4/4/2016
,Nova Andradina,52.625 , 1 ,19/9/2013
,Novo Horizonte do Sul,4.041 ,, - 
,Paraíso das Águas,5.350 , 1 ,23/2/2015
,Paranaíba,41.755 , 1 ,23/4/2013
,Paranhos,13.852 , 1 ,3/5/2013
,Pedro Gomes,7.683 , 1 ,24/7/2013
,Ponta Porã,89.592 , 1 ,30/7/2014
,Porto Murtinho,16.879 , 1 ,18/6/2013
,Ribas do Rio Pardo,23.881 , 1 ,28/1/2013
,Rio Brilhante,36.144 , 1 ,23/2/2015
,Rio Negro,4.834 , 1 ,30/7/2014
,Rio Verde de Mato Grosso,19.569 , 1 ,18/6/2013
,Rochedo,5.346 , 1 ,30/7/2014
,Santa Rita do Pardo,7.732 , 1 ,23/4/2013
,São Gabriel do Oeste,25.898 , 1 ,23/4/2013
,Selvíria,6.482 , 1 ,19/4/2017
,Sete Quedas,10.790 ,, - 
,Sidrolândia,54.575 , 1 ,3/12/2013
,Sonora,18.393 ,, - 
,Tacuru,11.284 , 1 ,19/4/2017
,Taquarussu,3.570 ,, - 
,Terenos,20.855 , 1 ,23/4/2013
,Três Lagoas,117.477 , 1 ,28/3/2013
,Vicentina,6.041 ,, - 
,MINAS GERAIS,21.119.536, Sim ,15/1/2014
,Belo Horizonte,2.523.794 , 1 ,21/3/2013
,Abadia dos Dourados,7.059 , - , - 
,Abaeté,23.611 , - , - 
,Abre Campo,13.733 , - , - 
,Acaiaca,4.065 , - , - 
,Açucena,9.997 , 1 ,16/9/2014
,Água Boa,14.370 , - , - 
,Água Comprida,2.058 , - , - 
,Aguanil,4.440 , - , - 
,Águas Formosas,19.416 , - , - 
,Águas Vermelhas,13.576 , - , - 
,Aimorés,25.711 , - , - 
,Aiuruoca,6.209 , - , - 
,Alagoa,2.752 , - , - 
,Albertina,3.046 , - , - 
,Além Paraíba,35.866 , 1 ,25/11/2013
,Alfenas,79.707 , 1 ,7/5/2014
,Alfredo Vasconcelos,6.775 , - , - 
,Almenara,41.794 , 1 ,26/10/2016
,Alpercata,7.515 , - , - 
,Alpinópolis,19.846 , 1 ,2/5/2017
,Alterosa,14.551 , - , - 
,Alto Caparaó,5.791 , - , - 
,Alto Jequitibá,8.522 , - ,
,Alto Rio Doce,11.693 , - , - 
,Alvarenga,4.199 , - , - 
,Alvinópolis,15.599 , 1 ,20/11/2014
,Alvorada de Minas,3.673 , 1 ,30/7/2014
,Amparo do Serra,4.924 , 1 ,16/5/2017
,Andradas,40.706 , - , - 
,Andrelândia,12.507 , - , - 
,Angelândia,8.541 , - , - 
,Antônio Carlos,11.608 , - , - 
,Antônio Dias,9.637 , - , - 
,Antônio Prado de Minas,1.664 , 1 ,5/12/2014
,Araçaí,2.368 , - , - 
,Aracitaba,2.111 , - , - 
,Araçuaí,37.361 , 1 ,24/4/2015
,Araguari,117.445 , - , - 
,Arantina,2.873 , 1 ,31/5/2016
,Araponga,8.544 , 1 ,12/12/2014
,Araporã,6.774 , 1 ,21/3/2013
,Arapuá,2.883 , - , - 
,Araújos,8.996 , - , - 
,Araxá,104.283 , 1 ,15/1/2014
,Arceburgo,10.578 , - , - 
,Arcos,39.811 , 1 ,27/4/2017
,Areado,14.956 , 1 ,2/3/2017
,Argirita,2.859 , 1 ,5/9/2013
,Aricanduva,5.192 , - , - 
,Arinos,18.243 , 1 ,1/2/2013
,Astolfo Dutra,14.118 , - , - 
,Ataléia,13.762 , - , - 
,Augusto de Lima,5.023 , - , - 
,Baependi,19.315 , 1 ,1/2/2013
,Baldim,8.051 , 1 ,4/4/2016
,Bambuí,24.018 , - , - 
,Bandeira,4.984 , 1 ,12/2/2014
,Bandeira do Sul,5.739 , - , - 
,Barão de Cocais,31.968 , 1 ,4/11/2014
,Barão de Monte Alto,5.648 , - , - 
,Barbacena,136.689 , 1 ,14/11/2013
,Barra Longa,5.624 , 1 ,18/4/2013
,Barroso,20.882 , 1 ,3/5/2013
,Bela Vista de Minas,10.416 , - , - 
,Belmiro Braga,3.503 , - , - 
,Belo Oriente,26.158 , - , - 
,Belo Vale,7.841 , 1 ,19/10/2015
,Berilo,12.360 , - , - 
,Berizal,4.678 , - , - 
,Bertópolis,4.720 , 1 ,7/5/2014
,Betim,427.146 , 1 ,17/9/2013
,Bias Fortes,3.613 , - , - 
,Bicas,14.545 , 1 ,2/5/2016
,Biquinhas,2.619 , - , - 
,Boa Esperança,40.530 , 1 ,18/6/2013
,Bocaina de Minas,5.185 , - , - 
,Bocaiúva,50.168 , 1 ,16/5/2017
,Bom Despacho,50.042 , 1 ,16/10/2014
,Bom Jardim de Minas,6.644 , 1 ,14/3/2018
,Bom Jesus da Penha,4.203 , - , - 
,Bom Jesus do Amparo,6.018 , - , - 
,Bom Jesus do Galho,15.459 , - , - 
,Bom Repouso,10.775 , - , - 
,Bom Sucesso,17.907 , 1 ,26/2/2014
,Bonfim,7.020 , 1 ,26/2/2014
,Bonfinópolis de Minas,5.764 , 1 ,3/6/2013
,Bonito de Minas,10.951 , - , - 
,Borda da Mata,19.055 , 1 ,16/6/2017
,Botelhos,15.322 , - , - 
,Botumirim,6.540 , - , - 
,Brás Pires,4.550 , - , - 
,Brasilândia de Minas,16.105 , 1 ,28/9/2015
,Brasília de Minas,32.732 , 1 ,7/5/2014
,Brasópolis,14.889 , 1 ,6/10/2017
,Braúnas,5.003 , - , - 
,Brumadinho,38.863 , 1 ,3/12/2013
,Bueno Brandão,11.233 , 1 ,30/7/2014
,Buenópolis,10.594 , - , - 
,Bugre,4.146 , - , - 
,Buritis,24.689 , - , - 
,Buritizeiro,28.335 , 1 ,14/3/2018
,Cabeceira Grande,6.940 , - , - 
,Cabo Verde,14.330 , - , - 
,Cachoeira da Prata,3.710 , - , - 
,Cachoeira de Minas,11.646 , - , - 
,Cachoeira de Pajeú,9.479 , 1 ,11/4/2013
,Cachoeira Dourada,2.691 , 1 ,1/2/2013
,Caetanópolis,11.399 , 1 ,16/10/2014
,Caeté,44.377 , 1 ,4/12/2015
,Caiana,5.440 , - , - 
,Cajuri,4.108 , - , - 
,Caldas,14.529 , - , - 
,Camacho,3.064 , - , - 
,Camanducaia,22.057 , - , - 
,Cambuí,29.165 , 1 ,5/2/2014
,Cambuquira,13.053 , 1 ,3/5/2013
,Campanário,3.757 , - ,19/11/2012
,Campanha,16.627 , 1 ,6/10/2017
,Campestre,21.440 , 1 ,1/2/2013
,Campina Verde,20.079 , 1 ,20/8/2013
,Campo Azul,3.863 , - , - 
,Campo Belo,54.458 , - , - 
,Campo do Meio,11.878 , 1 ,20/9/2017
,Campo Florido,7.886 , 1 ,14/11/2013
,Campos Altos,15.387 , - , - 
,Campos Gerais,29.057 , - , - 
,Cana Verde,5.735 , - , - 
,Canaã,4.699 , 1 ,25/11/2013
,Canápolis,12.117 , 1 ,16/9/2014
,Candeias,15.147 , 1 ,2/1/2013
,Cantagalo,4.517 , 1 ,29/8/2017
,Caparaó,5.489 , - , - 
,Capela Nova,4.805 , - , - 
,Capelinha,37.867 , 1 ,24/7/2013
,Capetinga,7.152 , - , - 
,Capim Branco,9.678 , 1 ,1/3/2013
,Capinópolis,16.250 , 1 ,29/5/2015
,Capitão Andrade,5.405 , - , - 
,Capitão Enéas,15.237 , 1 ,27/7/2015
,Capitólio,8.682 , 1 ,2/1/2013
,Caputira,9.431 , - , - 
,Caraí,23.781 , - , - 
,Caranaíba,3.299 , - , - 
,Carandaí,25.376 , - , - 
,Carangola,33.559 , 1 ,19/10/2015
,Caratinga,91.841 , 1 ,1/3/2013
,Carbonita,9.544 , 1 ,30/7/2014
,Careaçu,6.757 , - , - 
,Carlos Chagas,19.750 , 1 ,10/5/2018
,Carmésia,2.629 , - ,19/11/2012
,Carmo da Cachoeira,12.350 , 1 ,2/10/2017
,Carmo da Mata,11.559 , - , - 
,Carmo de Minas,14.822 , 1 ,30/7/2014
,Carmo do Cajuru,22.136 , - , - 
,Carmo do Paranaíba,30.861 , - , - 
,Carmo do Rio Claro,21.458 , 1 ,28/9/2015
,Carmópolis de Minas,18.995 , - , - 
,Carneirinho,10.072 , 1 ,3/12/2013
,Carrancas,4.110 , - , - 
,Carvalhópolis,3.581 , 1 ,6/10/2017
,Carvalhos,4.617 , 1 ,3/7/2014
,Casa Grande,2.309 , - , - 
,Cascalho Rico,3.071 , - , - 
,Cássia,18.057 , 1 ,2/10/2017
,Cataguases,75.025 , 1 ,11/4/2013
,Catas Altas ,5.316 , - , - 
,Catas Altas da Noruega,3.666 , - , - 
,Catuji,6.612 , 1 ,5/9/2013
,Catuti,5.151 , - , - 
,Caxambu,22.208 , 1 ,3/4/2014
,Cedro do Abaeté,1.209 , 1 ,2/5/2017
,Central de Minas,7.112 , - , - 
,Centralina,10.622 , 1 ,1/2/2013
,Chácara,3.101 , - , - 
,Chalé,5.823 , - , - 
,Chapada do Norte,15.675 , 1 ,10/7/2018
,Chapada Gaúcha,12.971 , 1 ,24/7/2013
,Chiador,2.789 , - , - 
,Cipotânea,6.868 , - , - 
,Claraval,4.847 , 1 ,3/5/2013
,Claro dos Poções,7.819 , - , - 
,Cláudio,28.287 , - , - 
,Coimbra,7.559 , 1 ,4/11/2014
,Coluna,9.146 , - , - 
,Comendador Gomes,3.138 , 1 ,24/7/2013
,Comercinho,7.599 , - , - 
,Conceição da Aparecida,10.374 , - , - 
,Conceição da Barra de Minas,4.050 , - , - 
,Conceição das Alagoas,26.818 , - , - 
,Conceição das Pedras,2.858 , - , - 
,Conceição de Ipanema,4.644 , - , - 
,Conceição do Mato Dentro,18.126 , 1 ,17/9/2013
,Conceição do Pará,5.515 , 1 ,29/7/2013
,Conceição do Rio Verde,13.724 , - , - 
,Conceição dos Ouros,11.467 , 1 ,23/2/2015
,Cônego Marinho,7.624 , - , - 
,Confins,6.608 , 1 ,31/8/2015
,Congonhal,11.706 , 1 ,24/4/2015
,Congonhas,53.843 , 1 ,27/7/2015
,Congonhas do Norte,5.134 , 1 ,12/12/2014
,Conquista,6.960 , 1 ,7/11/2017
,Conselheiro Lafaiete,127.369 , 1 ,11/4/2013
,Conselheiro Pena,23.240 , - , - 
,Consolação,1.810 , - , - 
,Contagem,658.580 , 1 ,24/4/2015
,Coqueiral,9.432 , - , - 
,Coração de Jesus,27.052 , 1 ,30/7/2014
,Cordisburgo,9.029 , - , - 
,Cordislândia,3.587 , - , - 
,Corinto,24.384 , - , - 
,Coroaci,10.339 , - , - 
,Coromandel,28.508 , - , - 
,Coronel Fabriciano,110.326 , 1 ,15/1/2014
,Coronel Murta,9.411 , 1 ,1/2/2013
,Coronel Pacheco,3.125 , - , - 
,Coronel Xavier Chaves,3.471 , 1 ,18/6/2013
,Córrego Danta,3.359 , - , - 
,Córrego do Bom Jesus,3.804 , - , - 
,Córrego Fundo,6.295 , 1 ,24/8/2017
,Córrego Novo,2.970 , 1 ,3/12/2013
,Couto de Magalhães de Minas,4.444 , 1 ,30/7/2014
,Crisólita,6.631 , - , - 
,Cristais,12.564 , - , - 
,Cristália,6.042 , - , - 
,Cristiano Otoni,5.225 , 1 ,2/10/2017
,Cristina,10.482 , 1 ,1/2/2013
,Crucilândia,5.057 , - , - 
,Cruzeiro da Fortaleza,4.174 , - , - 
,Cruzília,15.497 , - , - 
,Cuparaque,4.995 , 1 ,2/10/2017
,Curral de Dentro,7.623 , - , - 
,Curvelo,79.878 , - , - 
,Datas,5.471 , - , - 
,Delfim Moreira,8.205 , 1 ,1/2/2013
,Delfinópolis,7.186 , 1 ,11/4/2013
,Delta,9.904 , - , - 
,Descoberto,5.047 , 1 ,7/11/2017
,Desterro de Entre Rios,7.334 , - , - 
,Desterro do Melo,3.015 , - , - 
,Diamantina,48.230 , 1 ,18/4/2013
,Diogo de Vasconcelos,3.913 , - , - 
,Dionísio,8.287 , 1 ,7/5/2014
,Divinésia,3.455 , - , - 
,Divino,20.133 , - , - 
,Divino das Laranjeiras,5.086 , - , - 
,Divinolândia de Minas,7.559 , - , - 
,Divinópolis,234.937 , 1 ,1/2/2013
,Divisa Alegre,6.625 , - , - 
,Divisa Nova,6.068 , - , - 
,Divisópolis,10.547 , - , - 
,Dom Bosco,3.818 , - , - 
,Dom Cavati,5.247 , - , - 
,Dom Joaquim,4.602 , 1 ,15/1/2014
,Dom Silvério,5.351 , 1 ,17/9/2013
,Dom Viçoso,3.072 , - , - 
,Dona Eusébia,6.527 , 1 ,31/5/2016
,Dores de Campos,10.093 , 1 ,1/2/2013
,Dores de Guanhães,5.316 , 1 ,12/1/2018
,Dores do Indaiá,13.923 , 1 ,26/12/2017
,Dores do Turvo,4.437 , - , - 
,Doresópolis,1.533 , - , - 
,Douradoquara,1.930 , 1 ,3/6/2013
,Durandé,7.884 , - , - 
,Elói Mendes,27.730 , - , - 
,Engenheiro Caldas,11.098 , - , - 
,Engenheiro Navarro,7.377 , - , - 
,Entre Folhas,5.443 , - , - 
,Entre Rios de Minas,15.292 , 1 ,2/3/2017
,Ervália,19.015 , - , - 
,Esmeraldas,69.010 , 1 ,1/2/2013
,Espera Feliz,24.805 , - , - 
,Espinosa,32.214 , - , - 
,Espírito Santo do Dourado,4.712 , - , - 
,Estiva,11.449 , 1 ,14/11/2013
,Estrela Dalva,2.448 , - , - 
,Estrela do Indaiá,3.590 , 1 ,18/4/2013
,Estrela do Sul,7.981 , - , - 
,Eugenópolis,11.285 , - , - 
,Ewbank da Câmara,3.952 , 1 ,3/10/2017
,Extrema,34.344 , 1 ,7/1/2015
,Fama,2.426 , 1 ,7/11/2017
,Faria Lemos,3.371 , - , - 
,Felício dos Santos,5.012 , - , - 
,Felisburgo,7.431 , 1 ,13/12/2013
,Felixlândia,15.273 , - , - 
,Fernandes Tourinho,3.369 , - , - 
,Ferros,10.432 , 1 ,14/12/2012
,Fervedouro,11.039 , - , - 
,Florestal,7.343 , 1 ,17/9/2013
,Formiga,68.423 , 1 ,20/11/2014
,Formoso,9.294 , - , - 
,Fortaleza de Minas,4.407 , - , - 
,Fortuna de Minas,2.932 , 1 ,14/12/2017
,Francisco Badaró,10.557 , - , - 
,Francisco Dumont,5.215 , - , - 
,Francisco Sá,26.428 , 1 ,21/6/2016
,Franciscópolis,5.672 , - , - 
,Frei Gaspar,6.024 , - , - 
,Frei Inocêncio,9.597 , - , - 
,Frei LagoNegro,3.510 , - , - 
,Fronteira  ,17.072 , 1 ,8/6/2017
,Fronteira dos Vales,4.733 , 1 ,24/4/2015
,Fruta de Leite,5.709 , - , - 
,Frutal,58.770 , 1 ,3/12/2013
,Funilândia,4.277 , 1 ,30/4/2018
