,ente,população,estado_do_processo,data_adesao
,Cairu,18.224 , 1 ,22/7/2013
,Caldeirão Grande,13.713 , - , - 
,Camacan,33.310 , - , - 
,Camaçari,296.893 , 1 ,3/7/2014
,Camamu,36.644 , - , - 
,Campo Alegre de Lourdes,30.048 , 1 ,22/7/2013
,Campo Formoso,73.448 , - , - 
,Canápolis,10.151 , 1 ,3/7/2014
,Canarana,26.862 , 1 ,3/5/2013
,Canavieiras,33.002 , 1 ,19/10/2015
,Candeal,8.837 , - , - 
,Candeias,89.707 , 1 ,18/5/2017
,Candiba,14.792 , 1 ,13/10/2017
,Cândido Sales,26.674 , - , - 
,Cansanção,36.191 , 1 ,24/5/2017
,Canudos,17.316 , 1 ,25/11/2013
,Capela do Alto Alegre,12.199 , - , - 
,Capim Grosso,31.392 , 1 ,3/7/2014
,Caraibas,9.773 , - , - 
,Caravelas,22.740 , 1 ,3/5/2013
,Cardeal da Silva,9.544 , - , - 
,Carinhanha,30.118 , - , - 
,Casa Nova,73.382 , 1 ,16/10/2014
,Castro Alves,27.238 , 1 ,22/7/2013
,Catolândia,3.669 , - , - 
,Catu,56.459 , 1 ,22/7/2013
,Caturama,9.764 , - , - 
,Central,17.969 , 1 ,2/3/2017
,Chorrichó,11.591 , - , - 
,Cícero Dantas,34.676 , 1 ,29/7/2013
,Cipó,17.739 , 1 ,18/6/2013
,Coaraci,19.022 , - , - 
,Cocos,19.498 , 1 ,2/10/2015
,Conceição da Feira,23.024 , 1 ,3/5/2013
,Conceição de Almeida,18.229 , 1 ,5/9/2013
,Conceição do Coité,68.303 , 1 ,16/10/2014
,Conceição do Jacuipe,33.876 , 1 ,12/2/2014
,Conde,26.371 , - , - 
,Condeúba,18.191 , 1 ,16/10/2014
,Contendas do Sincorá,4.299 , - , - 
,Coração de Maria,23.896 , - , - 
,Cordeiros,8.904 , 1 ,28/12/2012
,Coribe,14.933 , 1 ,19/4/2013
,Coronel João Sá,16.814, 1 ,5/9/2013
,Correntina,33.361 , - , - 
,Cotegipe,14.414 , 1 ,12/11/2015
,Cravolândia,5.576 , 1 ,3/5/2013
,Crisópolis,21.835 , - , - 
,Cristópolis,14.403 , - , - 
,Cruz das Almas,64.932 , 1 ,19/4/2013
,Curaçá,35.524 , - , - 
,Dário Meira,11.716 , 1 ,2/5/2017
,Dias D'Ávila,80.657 , 1 ,18/6/2013
,Dom Basílio,12.604 , 1 ,2/10/2017
,Dom Macedo Costa,4.212 , 1 ,30/7/2014
,Elísio Medrado,8.461 , - , - 
,Encruzilhada,19.376 , - , - 
,Entre Rios,43.223 , - , - 
,Érico Cardoso,11.212 ,, - 
,Esplanada,37.845 , - , - 
,Euclides da Cunha,61.924 , - , - 
,Eunápolis,115.290 , 1 ,3/12/2013
,Fátima,18.443 , - , - 
,Feira da Mata,5.922 , - , - 
,Feira de Santana,627.477 , 1 ,3/5/2013
,Filadélfia,17.176 , 1 ,16/9/2014
,Firmino Alves,5.822 , - , - 
,Floresta Azul,11.244 , 1 ,6/9/2013
,Formosa do Rio Preto,25.912 , - , - 
,Gandu,33.234 , 1 ,19/4/2013
,Gavião,4.725 , - , - 
,Gentio de Ouro,11.639 , 1 ,23/11/2017
,Glória,15.840 , - , - 
,Gongogi,7.848 , - , - 
,Governador Mangabeira,21.495 , - , - 
,Guajeru,8.081 , - , - 
,Guanambi,86.808 , - , - 
,Guaratinga,22.154 , - , - 
,Heliópolis,13.718 , - , - 
,Iaçu,25.884 , - , - 
,Ibiassucê,10.183 , - , - 
,Ibicaraí,23.529 , - , - 
,Ibicoara,19.786 , - , - 
,Ibicuí,16.796 , 1 ,3/4/2014
,Ibipeba,18.678 , - , - 
,Ibipitanga,15.413 , - , - 
,Ibiquera,4.214 , 1 ,28/7/2017
,Ibirapitanga,24.293 , - , - 
,Ibirapuã,8.852 , - , - 
,Ibirataia,17.221 , 1 ,31/8/2015
,Ibitiara,16.855 , - , - 
,Ibititá,17.948 , - , - 
,Ibotirama,27.862 , 1 ,18/6/2013
,Ichu,6.437 , 1 ,23/11/2017
,Igaporã,16.283 , 1 ,21/8/2014
,Igrapiúna,14.187 , - , - 
,Iguaí,27.939 , - , - 
,Ilhéus,176.341 , 1 ,26/2/2014
,Inhambupe,40.453 , 1 ,7/5/2014
,Ipecaetá,15.499 , - , - 
,Ipiaú,47.704 , 1 ,30/6/2017
,Ipirá,62.631 , 1 ,3/12/2013
,Ipupiara,10.157 , - , - 
,Irajuba,7.521 , - , - 
,Iramaia,9.901 , 1 ,7/7/2015
,Iraquara,25.536 , - , - 
,Irará,29.879 , 1 ,15/1/2014
,Irecê,74.483 , 1 ,19/4/2013
,Itabela,31.422 , - , - 
,Itaberaba,66.806 , 1 ,3/5/2013
,Itabuna,221.046 , 1 ,29/7/2013
,Itacaré,28.382 , 1 ,3/5/2013
,Itaeté,16.586 , - , - 
,Itagi,13.199 , - , - 
,Itagibá,15.577 , 1 ,30/7/2014
,Itagimirim,7.291 , 1 ,3/12/2013
,Itaguaçu da Bahia,14.718 , - , - 
,Itaju da Colônia,7.218 , - , - 
,Itajuípe,21.642 , 1 ,14/6/2013
,Itamaraju,67.356 , - , - 
,Itamari,8.476 , - , - 
,Itambé,24.901 , - , - 
,Itanagra,6.730 , - , - 
,Itanhém,20.501 , - , - 
,Itaparica,22.866 , 1 ,7/7/2015
,Itapé,9.830 , - , - 
,Itapebi,10.830 , 1 ,22/7/2013
,Itapetinga,77.533 , 1 ,14/11/2013
,Itapicuru,36.211 , - , - 
,Itapitanga,10.799 , 1 ,20/9/2017
,Itaquara,8.592 , 1 ,16/8/2013
,Itarantim,20.314 , - , - 
,Itatim,14.957 , 1 ,15/1/2014
,Itiruçu,13.254 , 1 ,21/8/2014
,Itiúba,37.567 , - , - 
,Itororó,21.241 , - , - 
,Ituaçu,19.577 , - , - 
,Ituberá,29.428 , 1 ,16/6/2017
