NOME_MUNICIPIO [-],CODIGO [-],GENTILICO [-],PREFEITO [2017],AREA - AREA [2017],POPESTIMADA - POPESTIMADA [2018],DENSIDADE - DENSIDADE [2010],IDHM [2010],RECEITAS - REAL_MIL [2017],DESPESAS - REAL_MIL [2017],PIB - REAL [2016],
Piaçabuçu,2706802,piaçabuçuense,DJALMA GUTTEMBERG SIQUEIRA BREDA,240014,17805,71.67,572,40319,37706,14973.06,
Pilar,2706901,pilarense,RENATO REZENDE ROCHA FILHO,251066,35008,133.37,610,130550,120927,11893.43,
Pindoba,2707008,pindobense,MAXWELL TENORIO CAVALCANTE,117086,2911,24.37,574,15366,14144,9953.17,
Piranhas,2707107,piranhense,MARISTELA SENA DIAS,410112,24891,56.47,589,92811,81173,7950.03,
Poço das Trincheiras,2707206,pocense,MARIA APARECIDA FERREIRA RODRIGUES SILVA,284256,14354,47.52,526,40199,37591,5957.86,
Porto Calvo,2707305,porto-calvense,DAVID KLEVISSON DA FONSECA SILVA PEDROSA,313230,27079,83.49,586,66290,64148,11362.15,
Porto de Pedras,2707404,porto-pedrense,CARLOS HENRIQUE VILELA DE VASCONCELOS,257396,7873,32.71,541,25185,26755,11723.43,
Porto Real do Colégio,2707503,colegiense,ALDO ENIO BORGES,236677,20018,80.38,551,39684,38593,8197.70,
Quebrangulo,2707602,quebrangulense,MARCELO RICARDO VASCONCELOS LIMA,319829,11342,35.89,559,39815,9547,8708.28,
Rio Largo,2707701,rio-larguense,GILBERTO GONÇALVES DA SILVA,293816,74838,223.56,643,147949,136917,12968.97,
Roteiro,2707800,roteirense,WLADIMIR CHAVES DE BRITO,129242,6680,51.48,505,32001,28611,15059.38,
Santa Luzia do Norte,2707909,nortense,EDSON MATEUS DA SILVA,28857,7272,232.77,597,12676,18478,15213.66,
Santana do Ipanema,2708006,santanense,ISNALDO BULHOES BARROS,437875,47486,102.61,591,132391,124347,10798.17,
Santana do Mundaú,2708105,mundauense,ARTHUR DA PURIFICAÇÃO FREITAS LOPES,225405,10755,48.76,519,31090,34055,71759.71,
São Brás,2708204,são-braense,MARCOS SANDES,139945,6953,48.00,572,19189,18312,9103.75,
São José da Laje,2708303,lajense,BRUNO RODRIGO VALENÇA DE ARAÚJO,256638,23855,88.40,573,59519,57979,10430.90,
São José da Tapera,2708402,taperense,JOSÉ ANTONIO CAVALCANTE,494498,32111,60.77,527,73028,82282,6988.02,
São Luís do Quitunde,2708501,quitundense,FERNANDA MARIA SILVA CAVALCANTI DE OLIVE,397366,34415,81.61,536,80617.17368,36011.15483,12215.12,
São Miguel dos Campos,2708600,miguelense,PEDRO RICARDO ALVES JATOBÁ,360882,60775,151.27,623,177416,165274,15258.00,
São Miguel dos Milagres,2708709,milagrense ou miguelense,RUBENS FELISBERTO DE ATAIDE JUNIOR,76744,7888,93.34,591,26726,26393,12952.90,
São Sebastião,2708808,salomeense,JOSÉ PACHECO FILHO,315167,34011,101.59,549,124809,88489,9874.79,
Satuba,2708907,satubense,JOSE PAULINO ACIOLY DE ARAUJO,41268,13716,342.57,660,34842,33644,10056.88,
Senador Rui Palmeira,2708956,rui-palmeirense,JEANE OLIVEIRA MOURA SILVA CHAGAS,341992,13818,38.07,518,39111,35163,5928.25,
Tanque d'Arca,2709004,tanquense,WILMARIO VALENÇA SILVA JUNIOR,124761,6187,47.27,555,31782,19719,7497.95,
Taquarana,2709103,taquaranense,SEBASTIÃO ANTONIO DA SILVA,153291,19886,114.55,541,55246,58125,11758.83,
Teotônio Vilela,2709152,vilelano,JOÃO JOSÉ PEREIRA FILHO,299222,43960,138.15,564,Não informado,Não informado,8947.42,
Traipu,2709202,traipusense,EDUARDO TAVARES MENDES,685780,27632,36.82,532,54541,49447,6881.21,
União dos Palmares,2709301,palmarino,ARESKI DAMARA DE OMENA FREITAS JUNIOR,420720,65461,148.24,593,131780,134961,11990.47,
Viçosa,2709400,viçosense,DAVID DANIEL VASCONCELOS BRANDÃO DE ALME,371612,25773,74.00,586,67984,28325,9930.24,
