NOME_MUNICIPIO [-],CODIGO [-],GENTILICO [-],PREFEITO [2017],AREA - AREA [2017],POPESTIMADA - POPESTIMADA [2018],DENSIDADE - DENSIDADE [2010],IDHM [2010],RECEITAS - REAL_MIL [2017],DESPESAS - REAL_MIL [2017],PIB - REAL [2016],
Caldeirão Grande do Piauí,2202091,caldeirão grandense,JOÃO VIANNEY DE SOUSA ALENCAR,467083,5770,11.46,588,16302,16306,8389.89,
Campinas do Piauí,2202109,campinense,VALDINEI CARVALHO DE MACEDO,831201,5603,6.51,544,10644,10018,7157.80,
Campo Alegre do Fidalgo,2202117,campo alegrense,ISRAEL ODILIO DA MATA,657796,5019,7.13,537,15673,14813,6411.20,
Campo Grande do Piauí,2202133,campo grandense,JOÃO BATISTA DE OLIVEIRA,311829,5919,17.93,560,15285,14151,8654.05,
Campo Largo do Piauí,2202174,campolargoense,ROMULO AECIO SOUSA,477794,7245,14.24,528,20887,19920,5529.52,
Campo Maior,2202208,campo-maiorense,JOSE DE RIBAMAR CARVALHO,1680803,46770,26.96,656,126013,116143,11433.99,
Canavieira,2202251,canavieirense,JOAN DE ALBUQUERQUE ROCHA,2162874,3957,1.81,583,13057,12406,6939.45,
Canto do Buriti,2202307,canto-buritiense,MARCOS NUNES CHAVES,4325642,21112,4.63,576,43356,43511,9760.48,
Capitão de Campos,2202406,capitão-de-campense,FRANCISCO MEDEIROS DE CARVALHO FILHO,569889,11388,18.50,583,28429,25735,6661.14,
Capitão Gervásio Oliveira,2202455,gervasense,GABRIELA OLIVEIRA COELHO DA LUZ,1134168,4086,3.42,553,12972,12609,7001.68,
Caracol,2202505,caracolense,GILSON DIAS DE MACEDO FILHO,1610958,10866,6.34,552,22207,21688,6742.17,
Caraúbas do Piauí,2202539,carubense,JOAO COELHO DE SANTANA,471242,5845,11.72,505,15487,13304,7040.49,
Caridade do Piauí,2202554,caridadense,ANTONIEL DE SOUSA SILVA,498793,5049,9.63,541,6945,15189,7078.97,
Castelo do Piauí,2202604,castelense,JOSÉ MAGNO SOARES DA SILVA,2378847,19715,9.01,587,40397,40491,7869.62,
Caxingó,2202653,caxingoense,WASHINGTON LUIZ BRITO DE SOUSA,491063,5395,10.32,488,17074,15928,7896.14,
Cocal,2202703,cocalense,RUBENS DE SOUSA VIEIRA,1294125,27725,20.51,497,51964,49856,7062.74,
Cocal de Telha,2202711,cocatelhense,ANA CÉLIA DA COSTA SILVA,310346,4881,16.04,555,265,16254,7176.23,
Cocal dos Alves,2202729,cocalalvense,OSMAR DE SOUSA VIEIRA,324863,6140,15.58,498,14932,13487,6641.65,
Coivaras,2202737,coivarense,MARCELINO ALMEIDA DE ARAÚJO,485496,4007,7.85,565,12496,11913,6801.98,
Colônia do Gurguéia,2202752,coloniense,ALCILENE ALVES DE ARAÚJO,430621,6451,14.02,628,17694,15105,8099.49,
Colônia do Piauí,2202778,coloniense,LUCIA DE FATIMA BARROSO MOURA DE ABREU S,947879,7651,7.84,588,18975,17221,6645.75,
Conceição do Canindé,2202802,conceiçãonense,ALCIMIRO PINHEIRO DA COSTA,824729,4798,5.38,589,14370,13645,9012.37,
Coronel José Dias,2202851,coronelino,MANOEL OLIVEIRA GALVÃO,1914819,4678,2.37,546,13859,12837,6577.97,
Corrente,2202901,correntino,GLADSON MURILO MASCARENHAS RIBEIRO,3048447,26575,8.33,642,3049,47745,10718.90,
Cristalândia do Piauí,2203008,cristalandense,ARIANO MESSIAS NOGUEIRA PARANAGUA,1202895,8264,6.51,573,16983,15379,6010.79,
Cristino Castro,2203107,cristino-castrense,MANOEL PEREIRA DE SOUSA JUNIOR,1846339,10401,5.41,566,32076,27704,8490.79,
Curimatá,2203206,curimataense,VALDECIR RODRIGUES DE ALBUQUERQUE JUNIOR,2337537,11348,4.60,607,24055,21123,7553.71,
Currais,2203230,curralense,RAIMUNDO DE SOUSA SANTOS,3156657,4939,1.49,542,23189.89072,15583.21269,12247.86,
Curralinhos,2203255,curralinhense,FRANCISCO ALCIDES MACHADO OLIVEIRA,345848,4425,12.09,555,13669,12624,5521.28,
Curral Novo do Piauí,2203271,curral novense,ABEL FRANCISCO DE OLIVEIRA JUNIOR,755243,5316,6.47,527,16921,13704,6398.43,
Demerval Lobão,2203305,morrinhense,LUIS GONZAGA DE CARVALHO JUNIOR,216807,13793,61.24,618,32040,29659,10235.62,
Dirceu Arcoverde,2203354,arcoverdense,CARLOS GOMES DE OLIVEIRA,1017057,6992,6.56,561,Não informado,Não informado,5364.12,
Dom Expedito Lopes,2203404,dom-expedito-lopense,VALMIR BARBOSA DE ARAÚJO,218710,6884,29.99,601,15381,13069,10158.23,
Domingos Mourão,2203420,domingos-mouronense,JULIO CESAR BARBOSA FRANCO,846844,4356,5.04,550,12626,11844,7090.10,
Dom Inocêncio,2203453,inocentino,MARIA DAS VIRGENS DIAS,3870167,9546,2.39,549,20617,18661,5650.76,
Elesbão Veloso,2203503,elesbonense,JOSE RONALDO GOMES BARBOSA,1383019,14630,10.77,580,29374,27174,8120.47,
Eliseu Martins,2203602,eliseu-martinino,MARCOS AURELIO GUIMARAES DE ARAUJO,1090450,4900,4.28,595,14593,13665,8460.23,
Esperantina,2203701,esperantinense,VILMA CARVALHO AMORIM,908777,39621,41.45,605,72886,71734,8328.67,
Fartura do Piauí,2203750,farturense,LAÊNIO ROMMEL RODRIGUES MACÊDO,712918,5295,7.12,548,6867,11282,5104.44,
Flores do Piauí,2203800,florentino-do-piauí,ADINAEL RODRIGUES DE BARROS,946730,4464,4.61,547,13043,11656,6808.96,
Floresta do Piauí,2203859,florestense,AMILTON RODRIGUES DE SOUSA,194699,2556,12.75,538,5089,5516,7638.73,
Floriano,2203909,florianense,JOEL RODRIGUES DA SILVA,3409647,59840,16.92,700,141641,120929,17327.08,
Francinópolis,2204006,francinopolitano,PAULO CESAR RODRIGUES DE MORAIS,268702,5349,19.48,564,12864,11576,6356.50,
Francisco Ayres,2204105,airense,VALKIR NUNES DE OLIVEIRA,656475,4373,6.82,577,12746,11910,6974.97,
Francisco Macedo,2204154,francisco macedense,RAIMUNDO NONATO DE ALENCAR,176505,3166,18.54,553,11489,10312,7748.65,
Francisco Santos,2204204,francisco-santense,LUIS JOSÉ DE BARROS,491865,9262,17.47,608,19697,16932,6953.27,
Fronteiras,2204303,fronteirense,MARIA JOSE AYRES DE SOUSA,778204,11590,14.33,619,37582,31546,16174.08,
Geminiano,2204352,geminianense,ERCULANO EDIMILSON DE CARVALHO,441336,5424,11.84,561,14154,12016,8883.06,
Gilbués,2204402,gilbuense,LEONARDO DE MORAIS MATOS,3494958,10686,2.98,548,25862,25370,10804.67,
Guadalupe,2204501,guadalupense,MARIA JOZENEIDE FERNANDES LIMA,1023592,10500,10.03,650,26772,26817,41553.97,
Guaribas,2204550,guaribano,CLAUDINE MATIAS MAIA,3118227,4556,1.41,508,13596,12682,6783.90,
Hugo Napoleão,2204600,hugo-napoleonense,HELIO RODRIGUES ALVES,224455,3875,16.80,599,13171,12298,6812.35,
Ilha Grande,2204659,ilhagrandense,HERBERT DE MORAES E SILVA,134997,9394,66.36,563,19582,18924,7258.16,
Inhuma,2204709,inhumense,ANTÔNIO RUFINO DA SILVA JÚNIOR,978222,15296,15.18,624,28265,27341,7643.24,
Ipiranga do Piauí,2204808,ipiranguense,JOSE SANTOS REGO,529417,9782,17.67,630,24167,21330,7101.25,
Isaías Coelho,2204907,isaiense,FRANCISCO EUDES CASTELO BRANCO NUNES,787681,8551,10.59,582,18543,17138,5881.54,
Itainópolis,2205003,itainopolense,PAULO LOPES MOREIRA,827621,11507,13.41,541,28404,25725,6839.87,
Itaueira,2205102,itaueirense,QUIRINO DE ALENCAR AVELINO,2554181,11010,4.18,583,46577,25064,8818.72,
Jacobina do Piauí,2205151,jacobinense,GEDERLANIO RODRIGUES DE OLIVEIRA,1333796,5753,4.17,535,14932,13967,6745.37,
Jaicós,2205201,jaicoense,OGILVAN DA SILVA OLIVEIRA,865144,19035,20.85,524,40165,36286,7797.99,
Jardim do Mulato,2205250,jardimulatense,AIRTON JOSE DA COSTA VELOSO,509850,4494,8.45,593,12658,12596,5961.39,
Jatobá do Piauí,2205276,jatobaense,JOSÉ CARLOS GOMES BANDEIRA,650681,4855,7.13,566,14837,14597,7319.91,
Jerumenha,2205300,jerumenhense,ALDARA ROCHA LEAL VILAR PINTO,1867313,4457,2.35,591,13145,12126,9347.34,
João Costa,2205359,joão costense,GILSON CASTRO DE ASSIS,1800244,3010,1.64,561,17954,14078,7721.64,
Joaquim Pires,2205409,joaquim-pirense,GENIVAL BEZERRA DA SILVA,739979,14332,18.68,522,31352,27396,6189.62,
Joca Marques,2205458,jocamarquense,EDILBERTO AGUIAR MARQUES FILHO,166442,5419,30.64,504,15923,15338,6006.93,
José de Freitas,2205508,freitense,ROGER COQUEIRO LINHARES,1538172,39072,24.11,618,75541,70167,7711.60,
Juazeiro do Piauí,2205516,juazeirense,JOSÉ VALDO SOARES ROCHA,935404,5472,5.75,570,15592,13401,7314.04,
Júlio Borges,2205524,julio borgense,EDUARDO HENRIQUE DE CASTRO ROCHA,1297108,5614,4.14,582,15552,15018,6885.73,
Jurema,2205532,juremense,ELDER DA ROCHA SOUZA,1271889,4748,3.55,555,16611,15242,7091.77,
Lagoinha do Piauí,2205540,lagoinense,ALCIONE BARBOSA VIANA,67503,2831,39.35,597,11092,9753,6508.49,
Lagoa Alegre,2205557,lagoalegrense,CARLOS MAGNO FORTES MACHADO,394661,8504,20.29,550,1267,18550,6483.31,
Lagoa do Barro do Piauí,2205565,lagoa do barrense,GILSON NUNES DE SOUSA,1329665,4653,3.58,502,15076,13675,6615.71,
Lagoa de São Francisco,2205573,lagoense,VERIDIANO CARVALHO DE MELO,155639,6738,41.26,529,16827,14910,5737.05,
Lagoa do Piauí,2205581,lagoense,ANTONIO FRANCISCO DE OLIVEIRA NETO,426634,4052,9.05,583,18370,14013,9807.77,
Lagoa do Sítio,2205599,sitiolagoense,ANTÔNIO BENEDITO DE MOURA,804698,5154,6.03,541,13609.31714,12036.80633,7166.09,
Landri Sales,2205607,landri-salesiano,AURELIO SARAIVA  DE SA,1088583,5307,4.85,584,16900,15333,10629.03,
Luís Correia,2205706,luís-correiense,FRANCISCO ARAUJO GALENO,1071465,30177,26.52,541,65225,62511,8699.37,
Luzilândia,2205805,luzilandense,RONALDO DE SOUSA AZEVEDO,704347,25467,35.10,545,45112,43402,7428.62,
Madeiro,2205854,madeirense,JOSÉ CASSIMIRO DE ARAÚJO NETO,177153,8276,44.12,563,20434,19096,5713.24,
Manoel Emídio,2205904,manoel-emidense,JOSE MEDEIROS DA SILVA,1618992,5348,3.22,573,80,14666,7261.18,
Marcolândia,2205953,marcolandense,FRANCISCO PEDRO DE ARAUJO,139973,8439,54.30,562,20257,18957,7524.51,
Marcos Parente,2206001,marcos-parentense,PEDRO NUNES DE SOUSA,677414,4550,6.58,590,14015,12196,7504.19,
Massapê do Piauí,2206050,massapêense,FRANCISCO EPIFANIO CARVALHO REIS,530016,6434,11.94,525,18144,16012,5647.92,
Matias Olímpio,2206100,matiense,EDISIO ALVES MAIA,226375,10913,46.26,562,24194,23586,6957.63,
Miguel Alves,2206209,miguel-alvense,MIGUEL BORGES DE OLIVEIRA JÚNIOR,1393714,33684,23.17,539,62960,66954,6102.62,
Miguel Leão,2206308,leonino,ROBERTO CÉSAR DE ÁREA LEÃO NASCIMENTO,93515,1250,13.40,623,9227,8249,9484.02,
Milton Brandão,2206357,milton brandãoense,EXPEDITO RODRIGUES DE SOUSA,1309128,6617,4.93,508,15757,15264,6066.21,
Monsenhor Gil,2206407,monsenhorgilense,JOÃO LUIZ CARVALHO DA SILVA,582548,10565,18.17,615,24183,21251,8899.78,
Monsenhor Hipólito,2206506,hipolitano,ZENON DE MOURA BEZERRA,401433,7729,18.41,561,18407,16370,6516.45,
Monte Alegre do Piauí,2206605,montealegrense,DAVINELSON SOARES ROSAL,2417933,10611,4.28,578,30162,27518,10310.01,
Morro Cabeça no Tempo,2206654,morrense,ANTONIO CARLOS BATISTA DE FIGUEREDO,2116936,4533,1.92,542,13553,13337,6403.96,
Morro do Chapéu do Piauí,2206670,morrochapeuense,MARCOS HENRIQUE FORTES REBELO,328289,6781,19.80,550,17116,16644,6350.61,
Murici dos Portelas,2206696,muriciense,RICARDO DO NASCIMENTO MARTINS SALES,480567,9105,17.57,530,22772,20318,6680.11,
Nazaré do Piauí,2206704,nazareno-do-piauí,RAIMUNDO NONATO COSTA,1315840,7356,5.56,576,17461,16289,6337.68,
Nazária,2206720,nazariense,OSVALDO BONFIM DE CARVALHO,363589,8536,97.1,18.18,23422,19022,8763.73
Nossa Senhora de Nazaré,2206753,nazareno,LUIZ CARDOSO DE OLIVEIRA  NETO,356264,4847,12.79,586,15386,14455,6461.64,
Nossa Senhora dos Remédios,2206803,remediense,MANOEL DE JESUS SILVA,358225,8661,22.89,533,22680,21842,6601.98,
Novo Oriente do Piauí,2206902,novo-orientino,ARNILTON NOGUEIRA DOS SANTOS,525334,6575,12.37,562,15895,15360,6328.11,
Novo Santo Antônio,2206951,santantoniense,EDGAR GERALDO DE ALENCAR BONA MIRANDA,445331,2979,6.77,528,12274,10803,7222.72,
Oeiras,2207009,oeirense,JOSÉ RAIMUNDO DE SÁ LOPES,2702486,36971,13.19,634,68917,64803,10380.69,
Olho D'Água do Piauí,2207108,olho d?aguense,ANTONIO FRANCISCO DOS SANTOS,183099,2449,11.96,576,10842,9914,6967.75,
Padre Marcos,2207207,padre-marquense,JOSE VALDINAR DA SILVA,278637,6862,24.47,541,17220,15682,7731.92,
Paes Landim,2207306,paes-landinense,GUTEMBERG MOURA DE ARAUJO,401378,4132,10.11,575,14099,13330,8422.48,
Pajeú do Piauí,2207355,pajeuense,SEBASTIANA VIEIRA DE CARVALHO,986950,3375,3.12,559,13481,13303,7388.52,
Palmeira do Piauí,2207405,palmeirino,JOAO DA CRUZ ROSAL DA LUZ,2023513,5051,2.47,557,15954,12760,10084.59,
Palmeirais,2207504,palmeirense,REGINALDO SOARES VELOSO JUNIOR,1499179,14488,9.17,562,31991,32426,6180.44,
Paquetá,2207553,paquetaense,THALES COELHO PIMENTEL,432681,3953,9.25,509,14094,12421,6752.25,
Parnaguá,2207603,parnaguaense,JONDSON CASTRO FE,3429284,10762,3.00,575,32103,26978,7162.15,
Parnaíba,2207702,parnaibano,FRANCISCO DE ASSIS DE MORAES SOUZA,434229,152653,334.51,687,340708,321307,12787.32,
Passagem Franca do Piauí,2207751,passagemfranquense,RAISLAN FARIAS DOS SANTOS,775385,4302,5.35,561,Não informado,Não informado,7498.01,
Patos do Piauí,2207777,patoense,AGENILSON TEIXEIRA DIAS,803300,6377,8.12,563,16359,15381,6640.12,
Pau D'Arco do Piauí,2207793,paudarquiense,JOSENILTON DE SOUSA RODRIGUES BACELAR,430817,4023,8.72,514,12459,9938,5642.10,
Paulistana,2207801,paulistanense,GILBERTO JOSÉ DE MELO,1941393,20490,10.04,600,56082,50043,10052.53,
Pavussu,2207850,pavussuense,JULIMAR BARBOSA DA SILVA,1090697,3685,3.36,526,12901,10448,6461.91,
Pedro II,2207900,pedro-segundense,ALVIMAR OLIVEIRA DE ANDRADE,1544565,38704,24.70,571,86141,66741,7289.03,
Pedro Laurentino,2207934,pedro laurentinense,LEONCIO LEITE DE SOUSA,870338,2529,2.77,562,11379,10007,7967.95,
Nova Santa Rita,2207959,Santaritense,ANTONIO FRANCISCO RODRIGUES DA SILVA,909734,4365,4.60,554,13902,13698,7008.31,
Picos,2208007,picoense,JOSÉ WALMIR DE LIMA,577304,78002,137.30,698,184481,179285,18212.61,
Pimenteiras,2208106,pimenteirense,ANTONIO VENICIO DO Ó DE LIMA,4563073,12115,2.57,566,25489,25870,6123.69,
Pio IX,2208205,pio-nonense,REGINA COELI VIANA DE ANDRADE E SILVA,1947212,18389,9.08,564,37914,37586,7154.53,
Piracuruca,2208304,piracuruquense,RAIMUNDO ALVES FILHO,2369210,28703,11.57,596,52131,48756,8418.81,
Piripiri,2208403,piripiriense,LUIZ CAVALCANTE E MENEZES,1408934,63694,43.89,635,124496,111283,10246.67,
Porto,2208502,portuense,DOMINGOS BACELAR DE CARVALHO,252715,12526,47.08,549,26809,27271,6125.79,
Porto Alegre do Piauí,2208551,porto  alegrense,MARCIO NEIVA MARTINS,1169441,2700,2.19,563,12314,11915,8131.90,
Prata do Piauí,2208601,pratense,WILLHELM BARBOSA LIMA,198566,3153,15.71,565,5543,10024,6542.35,
Queimada Nova,2208650,queimadanovense,RAIMUNDO JULIO COELHO,1284674,8966,6.32,515,19016,17425,7131.28,
Redenção do Gurguéia,2208700,gurgueíno,ANGELO JOSE SENA SANTOS,2468007,8758,3.40,589,19925,17427,6835.84,
Regeneração,2208809,regenerense,HERMES TEIXEIRA NUNES JUNIOR,1251036,17978,14.03,591,40934,36690,7897.35,
Riacho Frio,2208858,riacho friense,ADALBERTO GERARDO ROCHA MASCARENHAS,2222096,4316,1.91,541,15010,13797,7759.71,
Ribeira do Piauí,2208874,ribeirense,ARNALDO ARAÚJO PEREIRA DA COSTA,1012479,4464,4.25,520,19253,15452,9701.43,
Ribeiro Gonçalves,2208908,ribeiro-gonçalvino,LINDENBERG VIEIRA DA SILVA,3978944,7305,1.72,601,23907,22230,17232.04,
Rio Grande do Piauí,2209005,rio-grandense-do-piauí,MAURÍCIO MARTINS COSTA SILVA,635951,6431,9.86,572,15797,14990,6525.51,
Santa Cruz do Piauí,2209104,santa-cruzense,FRANCISCO BARROSO DE CARVALHO NETO,583097,6232,9.85,601,14598,13596,7544.70,
Santa Cruz dos Milagres,2209153,santacruzense,WILNEY RODRIGUES DE MOURA,979657,4004,3.87,577,11893,10634,7919.50,
Santa Filomena,2209203,filomense,CARLOS AUGUSTO DE ARAUJO BRAGA,5285437,6252,1.15,544,20195,17796,14638.15,
Santa Luz,2209302,santa-luzense,CIDELTON DA CUNHA PINHEIRO,1186844,5836,4.65,588,13413,12920,7225.97,
Santana do Piauí,2209351,santanense,FRANCISCO RAIMUNDO DE MOURA,111063,4625,34.84,574,12952,11190,6542.36,
Santa Rosa do Piauí,2209377,santarosense,VERISSIMO ANTONIO SIQUEIRA DA SILVA,340198,5258,15.14,567,13555,11278,6765.86,
Santo Antônio de Lisboa,2209401,santo-antoense,WELINGTON CARLOS SILVA,385135,6388,15.51,584,13308,11681,7329.60,
Santo Antônio dos Milagres,2209450,santoantonhense,ADALBERTO GOMES VILANOVA SOUSA FILHO,33147,2155,62.12,619,10466,8922,6295.53,
Santo Inácio do Piauí,2209500,santinacense,TAIRO MOURA MESQUITA,852892,3785,4.28,613,13511,12817,7138.00,
São Braz do Piauí,2209559,san-brazense,NILTON PEREIRA CARDOSO,656361,4444,6.57,596,13568,14389,6236.07,
São Félix do Piauí,2209609,são-felicense,JOSE JAILSON PIO,626657,2954,4.67,610,129,10343,7864.86,
São Francisco de Assis do Piauí,2209658,sãofranciscoense,JOSIMAR JOÃO DE OLIVEIRA,1072480,5731,5.06,485,17197,13399,6597.93,
São Francisco do Piauí,2209708,são-franciscano,ANTONIO MARTINS DE CARVALHO,1340665,6425,4.70,570,20144,17793,7121.68,
São Gonçalo do Gurguéia,2209757,são gonçalense,PAULO LUSTOSA NOGUEIRA,1385300,3025,2.04,560,11630,11197,7503.63,
São Gonçalo do Piauí,2209807,são-gonçalense,LUIS DE SOUSA RIBEIRO JUNIOR,150215,4999,31.65,616,14857,11861,6297.33,
São João da Canabrava,2209856,canabravense,MERCIA DE ARAUJO ABREU,480537,4602,9.26,559,15110,13622,6577.16,
São João da Fronteira,2209872,são jão fronteirense,JOSE LINCOLN DE SOUSA MENESES,818149,6019,7.33,515,15742,13736,6507.29,
São João da Serra,2209906,serra-jonense,ANANIAS FERNANDES DE SOUSA,997035,6157,6.12,582,7399,14581,7078.80,
São João da Varjota,2209955,sanjoanense,HELIO NERI MENDES REGO,395306,4832,11.77,559,13582,11962,5747.84,
São João do Arraial,2209971,são jãoense,BENEDITA VILMA LIMA,213355,7937,34.38,523,18222,17277,5678.15,
São João do Piauí,2210003,são-joanense,GIL CARLOS MODESTO ALVES,1527773,20537,12.80,645,53644,52610,9678.04,
São José do Divino,2210052,sãojoseense,ANTONIO NONATO LIMA GOMES,319082,5338,16.13,565,14623,12846,8072.36,
São José do Peixe,2210102,são-joseense,VALDEMAR DOS SANTOS BARROS,1287174,3750,2.87,573,13523,12488,8409.94,
São José do Piauí,2210201,são-joseense,JOÃO BEZERRA NETO,373347,6710,18.06,552,13900.67557,11888.1338,6879.05,
São Julião,2210300,são-julianense,JONAS BEZERRA DE ALENCAR,291115,6353,22.07,594,17089,15243,6725.37,
São Lourenço do Piauí,2210359,lourenciano,MICHELLE DE OLIVEIRA CRUZ,672709,4568,6.58,595,14187,12401,6556.50,
São Luis do Piauí,2210375,sãoluisense,RAIMUNDO RENATO VICENTE DE ARAUJO SOUSA,217924,2642,11.62,554,10689,9792,6382.40,
São Miguel da Baixa Grande,2210383,sãomiquelense,JOSEMAR TEIXEIRA MOURA,445599,2449,5.49,563,60,8861,8065.12,
São Miguel do Fidalgo,2210391,fidalguense,CRISTOVÃO DIAS DE OLIVEIRA,813444,3040,3.66,535,11603,10921,7271.25,
São Miguel do Tapuio,2210409,tapuiense,POMPILIO EVARISTO CARDOSO FILHO,4987601,17686,3.48,556,48151,37841,6609.50,
São Pedro do Piauí,2210508,são-pedrense,JOSÉ MARIA RIBEIRO DE AQUINO JÚNIOR,518288,14255,26.32,595,30145,28378,7060.61,
São Raimundo Nonato,2210607,são-raimundense,CARMELITA DE CASTRO SILVA,2415602,34535,13.38,661,65150,62122,11453.54,
Sebastião Barros,2210623,sebastião barrense,ONELIO CARVALHO DOS SANTOS,893715,3488,3.98,536,13553,13337,9138.39,
Sebastião Leal,2210631,sebastião-lealense,ANGELO PEREIRA DE SOUSA,3151588,4286,1.31,562,19130,16770,10405.02,
Sigefredo Pacheco,2210656,sigefredense,OSCAR BARBOSA DA SILVA,1031489,10024,9.95,581,20741,17945,5650.24,
Simões,2210706,simonense,JOSE WILSON DE CARVALHO,1075514,14615,13.23,575,35710,36150,7950.83,
Simplício Mendes,2210805,simplício-mendense,HELI DE ARAUJO MOURA FE,1353088,12663,8.97,627,39720,29872,10327.06,
Socorro do Piauí,2210904,socorrense,JOSE COELHO FILHO,761854,4576,5.94,561,14448,16631,6552.21,
Sussuapara,2210938,sussuaparense,EDVARDO ANTÔNIO DA ROCHA,205741,6692,29.70,586,15446,13754,8115.21,
Tamboril do Piauí,2210953,tamborilense,ANA DELCIDES FIGUEIREDO GUEDES,1587296,2908,1.73,501,12540,10582,7143.31,
Tanque do Piauí,2210979,tanquense,FRANCISCO PEREIRA DA SILVA FILHO,398723,2756,6.57,579,11484,10337,8181.93,
Teresina,2211001,teresinense,FIRMINO DA SILVEIRA SOARES FILHO,1391981,861442,584.94,751,2804376,2669283,22597.68,
União,2211100,unionense,PAULO HENRIQUE MEDEIROS COSTA,1173447,44396,36.35,577,88045,87308,7428.39,
Uruçuí,2211209,uruçuiense,FRANCISCO WAGNER PIRES COELHO,8411904,21457,2.40,631,72450,62121,36777.46,
Valença do Piauí,2211308,valenciano,MARIA DA CONCEIÇÃO CUNHA DIAS,1334629,20906,15.23,647,45444,42663,10051.35,
Várzea Branca,2211357,varzea-branquense,IDEVALDO RIBEIRO DA SILVA,450755,4956,10.90,553,15047,14563,6146.35,
Várzea Grande,2211407,várzea-grandense,CLÁUDIA REGINA MEDEIROS E SILVA,237013,4397,18.29,571,13017,11673,6854.08,
Vera Mendes,2211506,veramendense,MILTON DA SILVA OLIVEIRA,341974,3075,8.73,503,14036,12433,7177.76,
Vila Nova do Piauí,2211605,vilanovense,EDILSON EDMUNDO DE BRITO,221654,2990,14.09,565,13553,11518,9926.59,
Wall Ferraz,2211704,wal farrazense,DANILO ARAÚJO NUNES MARTINS,269987,4454,15.85,544,13475,12681,6739.07,
Angra dos Reis,3300100,angrense,FERNANDO ANTÔNIO CECILIANO JORDÃO,825082,200407,205.45,724,1048675,844589,47636.40,
Aperibé,3300159,aperibeense,VANDELAR DIAS DA SILVA,94542,11292,107.92,692,Não informado,Não informado,15055.48,
Araruama,3300209,araruamense,LÍVIA SOARES BELLO DA SILVA,638480,130439,175.55,718,316770.86324,314786.34675,19748.08,
Areal,3300225,arealense,FLÁVIO MAGDALENA BRAVO,110724,12471,102.99,684,59613,53041,26229.60,
Armação dos Búzios,3300233,buziano,ANDRE GRANADO NOGUEIRA DA GAMA,70751,33240,392.16,728,239846,201184,46566.38,
Arraial do Cabo,3300258,cabista,RENATO MARTINS VIANNA,156639,30096,172.91,733,153413.50228,152077.34546,22531.94,
Barra do Piraí,3300308,barrense,MARIO REIS ESTEVES,584610,99969,163.70,733,222232,201994,20436.21,
Barra Mansa,3300407,barra-mansense,RODRIGO DRABLE COSTA,547133,183976,324.94,729,506164,405027,26346.46,
Belford Roxo,3300456,belford-roxense,WAGNER DOS SANTOS CARNEIRO,78985,508614,6031.38,684,612862,612698,16764.54,
Bom Jardim,3300506,bom-jardinense,ANTONIO CLARET GONÇALVES FIGUEIRA,382430,27269,65.86,660,87500.14096,80266.93787,25701.24,
Bom Jesus do Itabapoana,3300605,bom-jesuense,ROBERTO ELIAS FIGUEIREDO SALIM FILHO,596659,36985,59.13,732,99483,98359,19756.20,
Cabo Frio,3300704,cabo-friense,ADRIANO GUILHERME DE TEVES MORENO,413645,222528,453.75,735,822362,818454,33969.57,
Cachoeiras de Macacu,3300803,cachoeirense,MAURO CEZAR DE CASTRO SOARES,954749,58560,56.90,700,203270,178476,18427.81,
Cambuci,3300902,cambuciense,AGNALDO VIEIRA MELLO,558281,15496,26.40,691,60668,55295,22554.23,
Carapebus,3300936,carapebuense,CHRISTIANE MIRANDA DE ANDRADE CORDEIRO,306989,16039,43.36,713,90009,83994,19832.89,
Comendador Levy Gasparian,3300951,gaspariense,VALTER LUIZ LAVINAS RIBEIRO,108639,8544,76.53,685,44262,33734,42356.06,
Campos dos Goytacazes,3301009,campista,RAFAEL PAES BARBOSA DINIZ NOGUEIRA,4032435,503424,115.16,716,1734230,1663245,35475.94,
Cantagalo,3301108,cantagalense,JOAQUIM AUGUSTO CARVALHO DE PAULA,746928,20177,26.47,709,93795,81315,43895.79,
Cardoso Moreira,3301157,cardosense,GILSON NUNES SIQUEIRA,522596,12826,24.02,648,65620,53678,26400.75,
Carmo,3301207,carmense,PAULO CESAR GONÇALVES LADEIRA,306502,18755,54.15,696,70897.29123,63643.40449,25480.86,
Casimiro de Abreu,3301306,casimirense,PAULO CEZAR DAMES PASSOS,462958,43295,76.71,726,238054,197771,27712.27,
Conceição de Macabu,3301405,macabuense,CLAUDIO EDUARDO BARBOSA LINHARES,349211,23064,61.08,712,92675,64298,14909.49,
Cordeiro,3301504,cordeirense,LUCIANO RAMOS PINTO,113320,21806,175.59,729,67314,59630,16365.40,
Duas Barras,3301603,bibarrense,LUIZ CARLOS BOTELHO LUTTERBACH,378964,11454,29.14,659,54567.76424,46700.76188,20979.33,
Duque de Caxias,3301702,caxiense,WASHINGTON REIS DE OLIVEIRA,467271,914383,1828.51,711,2318008,2371514,44939.65,
Engenheiro Paulo de Frontin,3301801,fronteense,JAULDO DE SOUZA BALTHAZAR FERREIRA,139816,13929,99.57,722,53999,48665,19198.29,
Guapimirim,3301850,guapimiriense,JOCELITO PEREIRA DE OLIVEIRA,358352,59613,142.70,698,172264,155768,15912.49,
Iguaba Grande,3301876,iguabense,ANA GRASIELLA MOREIRA FIGUEIREDO MAGALHÃ,50543,27762,439.91,761,98988.74906,91495.78061,16153.08,
